time,open,high,low,close,volume,symbol,name
2022-06-20,1200.28,1205.64,1162.12,1164.33,440780139,VN100,VN100
2022-06-21,1164.33,1172.84,1146.33,1155.46,46278396,VN100,VN100
2022-06-22,1155.46,1171.76,1153.99,1161.32,379972360,VN100,VN100
2022-06-23,1161.32,1181.06,1155.29,1181.06,287745109,VN100,VN100
2022-06-24,1181.06,1188.88,1178.27,1178.27,15931986,VN100,VN100
2022-06-27,1178.27,1197.34,1178.27,1197.34,45670298,VN100,VN100
2022-06-28,1197.34,1215.5,1191.87,1214.12,38710007,VN100,VN100
2022-06-29,1214.12,1216.96,1201.87,1214.42,358996915,VN100,VN100
2022-06-30,1214.42,1217.36,1189.5,1189.5,334669518,VN100,VN100
2022-07-01,1189.5,1197.9,1163.83,1194.16,328058608,VN100,VN100
2022-07-04,1198.73,1204.95,1188.34,1192.85,292176159,VN100,VN100
2022-07-05,1192.85,1197.74,1180.14,1181.62,99793410,VN100,VN100
2022-07-06,1181.62,1181.62,1151.69,1151.69,365936696,VN100,VN100
2022-07-07,1151.69,1167.22,1147.04,1167.22,262404470,VN100,VN100
2022-07-08,1167.22,1178.58,1167.22,1174.34,319746100,VN100,VN100
2022-07-11,1174.34,1174.34,1146.24,1155.08,355301357,VN100,VN100
2022-07-12,1155.08,1171.95,1152.4,1171.95,329682746,VN100,VN100
2022-07-13,1171.95,1178.66,1167.54,1169.68,325051685,VN100,VN100
2022-07-14,1169.68,1177.39,1164.36,1176.26,337933802,VN100,VN100
2022-07-15,1176.26,1184.65,1173.3,1174.82,404358767,VN100,VN100
2022-07-18,1174.82,1181.09,1169.42,1171.29,331919344,VN100,VN100
2022-07-19,1171.29,1172.46,1161.39,1170.45,321779040,VN100,VN100
2022-07-20,1170.45,1190.45,1170.45,1185.85,379491565,VN100,VN100
2022-07-21,1185.85,1197.53,1185.85,1192.74,335850988,VN100,VN100
2022-07-22,1192.74,1199.31,1187.53,1187.53,301605758,VN100,VN100
2022-07-25,1187.53,1188.54,1177.08,1180.43,274390251,VN100,VN100
2022-07-26,1180.43,1184.87,1174.67,1175.15,282245105,VN100,VN100
2022-07-27,1175.15,1179.45,1168.67,1179.45,288341399,VN100,VN100
2022-07-28,1179.45,1201.57,1179.45,1196.16,440775875,VN100,VN100
2022-07-29,1196.16,1202.07,1191.79,1191.79,394334755,VN100,VN100
2022-08-01,1191.79,1216.7,1191.79,1216.7,497116690,VN100,VN100
2022-08-02,1216.7,1224.79,1211.35,1224.3,493622640,VN100,VN100
2022-08-03,1224.3,1231.63,1215.25,1230.97,541493419,VN100,VN100
2022-08-04,1230.97,1240.28,1229.61,1234.97,475476380,VN100,VN100
2022-08-05,1234.97,1234.97,1226.16,1233.39,427893250,VN100,VN100
2022-08-08,1233.39,1241.09,1232.24,1238.1,425668272,VN100,VN100
2022-08-09,1238.1,1246.17,1236.26,1242.37,463339107,VN100,VN100
2022-08-10,1242.37,1244.4,1238.11,1239.31,432454922,VN100,VN100
2022-08-11,1239.31,1251.59,1226.38,1231.47,529949440,VN100,VN100
2022-08-12,1231.47,1241.68,1227.12,1241.68,364038680,VN100,VN100
2022-08-15,1247.33,1255.91,1247.33,1255.46,449520173,VN100,VN100
2022-08-16,1255.46,1258.97,1253.03,1257.15,429131373,VN100,VN100
2022-08-17,1257.15,1264.2,1255.79,1259.04,471479637,VN100,VN100
2022-08-18,1259.04,1266.85,1252.48,1256.97,399316917,VN100,VN100
2022-08-19,1256.97,1260.67,1245.97,1251.55,397970425,VN100,VN100
2022-08-22,1251.55,1253.08,1238.08,1244.03,371501265,VN100,VN100
2022-08-23,1244.03,1253.82,1234.81,1253.82,369654177,VN100,VN100
2022-08-24,1253.82,1262.31,1253.82,1258.71,402304112,VN100,VN100
2022-08-25,1258.71,1272.24,1258.71,1272.19,413410564,VN100,VN100
2022-08-26,1272.19,1278.58,1264.37,1266.72,449030704,VN100,VN100
